id,Text1,Text2,Label
1,"su nombre proviene de los persas, los cuales empleaban este alimento para dar de comer a sus reyes y significa ""carne a la parrilla"".","el alimento, cuyo nombre proviene de los persas, que significa “carne a la parrilla”, se empleaba para dar de comer a sus reyes.",1
2,"la congelación con deshidratación, uno de los nuevos métodos empleados en los restaurantes experimentales, maximiza el sabor y la textura en cada bocado.","un método de cocción es el sous vide, que mantiene la integridad de los alimentos al aumentar el calor en ellos durante periodos prolongados a temperaturas relativamente bajas.",0
3,"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.","el festival de alcachofa ahumada instantánea  es una de las especialidades del menú, compuesto por alcachofa, con microensalada y queso parmesano espolvoreado con oro de 24 quilates como complemento, sobre un plato de saturno lleno con humo de nogal.",0
4,el sous vide es un método de cocción que mantiene la integridad de los alimentos al calentarlos durante largos periodos a temperaturas relativamente bajas.,estos se usan para referir a las transformaciones que sufren los elementos del platillo al prepararse.,0
5,"el cuidado de la piel también es un factor a tomar en cuenta, pues la vitamina c dan como resultado una piel más lozana.","la dieta general de la gente consiste en carnes, frutas, verduras y todo lo comestible a nuestro alcance.",0
6,los sabores más delicados pueden preservarse con un poco de ciencia.,los sabores más delicados pueden conservarse con un poco de ciencia.,1
7,"el cuidado de la piel también es un factor a tomar en cuenta, pues la vitamina c dan como resultado una piel más lozana.","en ausencia de la carne en dietas alternativas, es de vital importancia tener un equilibrio de proteínas porque ella tiene un alto valor de nutrientes.",0
8,"los altares de tres niveles muestran el cielo, la tierra y el inframundo.","el altar de muertos es una obra simbólica proveniente del sincretismo de las ideologías prehispánicas, su filosofía y creencias religiosas impuestas por los conquistadores.",0
9,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,"en la parte superior del carro, hay una superficie que el productor de camote utiliza para colocar la cinta, colocar los componentes al alcance  y preparar su producto.",0
10,"la empresa de catering caterers bubble, de londres, incorpora técnicas moleculares en gran parte de su menú.",la excentricidad con la que se presentan los platos en la cocina molecular es uno de los factores que la hacen tan popular.,0
11,"en el menú hay especialidades como el festival de alcachofa ahumada instantánea, hecha de diferentes texturas de alcachofa y acompañada por una microensalada y queso parmesano espolvoreado con oro de 24 quilates, sobre un tazón de saturno lleno con humo de nogal.","la compañía de lóndres, catering caterers bubble, une técnicas moleculares en gran parte de su oferta de alimentos.",0
